objectid,route_name_ruta_troncal,nombre_ruta_troncal,servicio_unico_ruta_troncal,origen_ruta_troncal,destino_ruta_troncal,desc_tipo_ruta_troncal,tipo_operacion,desc_tipo_bus_ruta_troncal,horario_lunes_viernes,horario_sabado,horario_domingo_festivo,estado_ruta_troncal,longitud_comercial,longitud_ruta_troncal,log_replica,created_user,created_date,last_edited_user,last_edited_date,tipo_ruta_troncal,tipo_bus_ruta_troncal,globalid,shape_Length
112,J24,J24,DJ24,PORTAL 80,UNIVERSIDADES – CITYU,TRONCAL,Normal,BIARTICULADO,05:30 - 22:00,05:30 - 20:30,0,OPERATIVA,15.176,15.53341939,,,,editorTroncal,2024/05/28 14:25:40+00,1,2,{B1E3109F-8BAE-4393-9287-185129523D69},15533.4193879178
114,B23,B23,BK23,PORTAL EL DORADO – C.C. NUESTRO BOGOTÁ,ALCALÁ – COLEGIO S. TOMÁS DOMINICOS,TRONCAL,Normal,ARTICULADO,05:00 - 22:00,05:30 - 22:00,0,OPERATIVA,22.58,23.03229134,,,,editorTroncal,2024/12/27 13:43:10+00,1,1,{243D6474-E42C-4B63-83FC-62D0BA260209},23032.2913370844
116,1-1,1 U,1,UNIVERSIDADES – CITYU,PORTAL EL DORADO – C.C. NUESTRO BOGOTÁ,TRONCAL,Normal,BIARTICULADO,04:30 - 23:00,04:30 - 23:00,04:30 - 22:00,OPERATIVA,11.817,11.81923146,,,,editorTroncal,2024/12/27 13:43:55+00,1,2,{5AF5A1C1-623C-4B76-A912-F541F7ACA1DA},11819.2314614873
117,B26,B26,BF26,PORTAL AMÉRICAS,ALCALÁ – COLEGIO S. TOMÁS DOMINICOS,TRONCAL,Normal,BIARTICULADO,04:30 - 09:00,4:30 - 9:00,0,OPERATIVA,26.24,27.31960556,,,,editorTroncal,2024/05/28 14:23:30+00,1,2,{973DA5A1-9B2F-4F58-92B0-2248B9ECF832},27319.6055582447
118,H76,H76,JH76,UNIVERSIDADES – CITYU,PORTAL USME,TRONCAL,Normal,BIARTICULADO,16:00 - 22:30,0,0,OPERATIVA,14.419,14.42442581,,editorTroncal,2023/04/12 14:22:22+00,editorTroncal,2024/05/28 14:24:54+00,1,2,{989CDBF4-33DD-4F5C-9FA4-478A3EBA0426},14424.4258056928
119,K23,K23,BK23,ALCALÁ – COLEGIO S. TOMÁS DOMINICOS,PORTAL EL DORADO – C.C. NUESTRO BOGOTÁ,TRONCAL,Normal,ARTICULADO,05:30 - 22:00,05:30 - 22:00,0,OPERATIVA,21.916,21.87195756,,,,editorTroncal,2024/12/27 13:43:55+00,1,1,{B6491918-0334-4B3C-84A7-F2596E7F4FFA},21871.9575610856
120,F26,F26,BF26,ALCALÁ – COLEGIO S. TOMÁS DOMINICOS,PORTAL AMÉRICAS,TRONCAL,Normal,BIARTICULADO,15:00 - 20:00,12:00 - 18:00,0,OPERATIVA,26.843,26.24163786,,,,editorTroncal,2024/05/28 14:23:30+00,1,2,{BCC2F9A2-425A-4AEC-97E7-558086D83231},26241.6378577544
121,C73,C73,CJ73,UNIVERSIDADES – CITYU,PORTAL SUBA,TRONCAL,Normal,BIARTICULADO,16:00 - 22:30,0,0,OPERATIVA,22.878,22.88551072,,,,editorTroncal,2024/05/28 14:24:54+00,1,2,{21E467A4-87F4-47D8-9CB4-47E8F586AA7D},22885.5107212715
122,D24,D24,DJ24,UNIVERSIDADES – CITYU,PORTAL 80,TRONCAL,Normal,BIARTICULADO,06:00 - 23:00,06:00 - 21:00,0,OPERATIVA,15.152,15.15557027,,,,editorTroncal,2024/05/28 14:24:54+00,1,2,{A976B007-41BB-488E-B5E9-326BA51A3426},15155.5702678907
123,J73,J73,CJ73,PORTAL SUBA,UNIVERSIDADES – CITYU,TRONCAL,Normal,BIARTICULADO,05:30 - 09:00,0,0,OPERATIVA,23.398,23.68217188,,,,editorTroncal,2024/05/28 14:25:40+00,1,2,{31ED6AE9-4B62-4504-8CEF-C60ED3531A4F},23682.1718793697
124,6-2,6 P,6,PORTAL 80,UNIVERSIDADES – CITYU,TRONCAL,Normal,ARTICULADO,04:30 - 23:00,04:30 - 23:00,04:30 - 22:00,OPERATIVA,15.136,15.49303806,,,,editorTroncal,2024/05/28 14:25:40+00,1,1,{59812EC2-42C6-4914-9ED9-08A5B1E5EC5B},15493.0380606453
125,J76,J76,JH76,PORTAL USME,UNIVERSIDADES – CITYU,TRONCAL,Normal,BIARTICULADO,05:00 - 08:30,0,0,OPERATIVA,14.394,14.4015975,,editorTroncal,2023/04/12 14:22:22+00,editorTroncal,2024/05/28 14:25:40+00,1,2,{5BA2842C-5279-499A-B315-552C84A9843D},14401.5974956353
129,H17,H17,CH17,PORTAL SUBA,PORTAL USME,TRONCAL,Normal,ARTICULADO,04:30 - 20:00,05:00 - 15:00,0,OPERATIVA,29.877,30.96419724,,editorTroncal,2024/09/13 14:43:30+00,editorTroncal,2024/09/13 14:46:18+00,1,1,{0389ABCA-959C-4437-934A-A1ADD8617E73},30964.1972404975
130,C17,C17,CH17,PORTAL USME,PORTAL SUBA,TRONCAL,Normal,ARTICULADO,04:00 - 20:00,04:00 - 15:00,0,OPERATIVA,30.586,30.96419724,,editorTroncal,2024/09/13 14:38:45+00,editorTroncal,2024/09/13 14:42:56+00,1,1,{50495162-6CE3-44D4-BA5B-45C3D33A5223},30964.1972404975
131,7-1,7 P,7,POLO - FINCOMERCIO,PORTAL SUBA,TRONCAL,Normal,ARTICULADO,04:30 - 23:00,04:30 - 23:00,04:30 - 22:00,OPERATIVA,10.588,13.19203714,,editorTroncal,2024/09/13 15:02:45+00,editorTroncal,2024/09/13 15:13:44+00,1,1,{92C7D540-6A44-49F6-9C8D-E9A23B5F5AFC},13192.0371439981
132,7-2,7 S,7,PORTAL SUBA,POLO - FINCOMERCIO,TRONCAL,Normal,ARTICULADO,04:30 - 23:00,04:30 - 23:00,04:30 - 22:00,OPERATIVA,9.321,10.8415694,,editorTroncal,2024/09/13 15:05:41+00,editorTroncal,2024/09/13 15:13:44+00,1,1,{F56070D3-D8D5-44AA-B30C-9F45FB8FBDBF},10841.5693966055
